No,Provinsi,Jumlah Koperasi,Koperasi Memiliki NIB,Koperasi Memiliki NPWP,Koperasi Telah RAT (2025),Simpanan Pokok,Simpanan Wajib,Volume Transaksi (2026),Nilai Transaksi (2026),Pemetahaan Lahan,Pemetahaan Lahan (%),Pembangunan Gerai (%)
1,ACEH,6.534,4.451,6.529,4.474,332.754.200,99.495.060,184.048,Rp 511.287.785,1818,27.97,77.06
2,BALI,718,497,716,641,946.365.000,321.501.000,294.715,Rp 1.327.683.562,138,19.27,84.61
3,BANTEN,1.553,1.342,1.553,758,2.680.952.700,407.631.320,518.389,Rp 7.514.544.312,738,47.55,76.79
4,BENGKULU,1.508,1.002,1.506,900,147.186.400,58.596.285,168.235,Rp 306.708.880,773,51.09,76.22
5,DAERAH ISTIMEWA YOGYAKARTA,438,403,438,398,397.915.000,152.291.000,565.129,Rp 1.087.498.440,191,43.61,53.97
6,DKI JAKARTA,269,267,267,266,296.250.000,229.285.000,351.856,Rp 4.680.027.059,8,3,87.5
7,GORONTALO,731,637,731,431,176.865.000,36.115.025,2.399,Rp 66.207.250,252,34.57,76.93
8,JAMBI,1.591,1.059,1.586,812,446.256.600,168.525.400,15.293,Rp 44.408.200,849,53.56,62.77
9,JAWA BARAT,5.970,5.264,5.964,3.495,3.575.582.085,2.924.024.414,"1.869.824,8",Rp 15.944.469.949,3475,58.33,75.42
10,JAWA TENGAH,8.524,8.153,8.523,6.831,4.377.904.650,1.510.157.760,"3.773.453,2",Rp 22.129.859.597,6303,73.61,92.13
11,JAWA TIMUR,8.494,7.882,8.494,6.366,3.207.810.700,1.342.612.400,"8.460.470,68",Rp 70.361.373.675,6552,77.14,89.52
12,KALIMANTAN BARAT,2.156,1.406,2.151,646,296.605.050,109.770.020,508.119,Rp 5.354.937.095,695,32.4,82.45
13,KALIMANTAN SELATAN,2.013,1.652,2.013,1.651,2.808.046.110,376.589.000,850.427,Rp 1.719.659.580,565,28.01,69.32
14,KALIMANTAN TENGAH,1.543,741,1.543,465,248.745.000,123.915.000,1.385.931,Rp 4.829.024.960,485,30.87,57.96
15,KALIMANTAN TIMUR,1.037,707,1.036,564,344.600.000,178.877.000,209.737,Rp 2.167.926.689,503,48.46,79.41
16,KALIMANTAN UTARA,411,311,411,195,19.020.450,38.130.000,25.809,Rp 1.231.127.000,124,25.73,58.01
17,KEPULAUAN BANGKA BELITUNG,394,385,393,324,64.430.200,34.515.030,225,Rp 414.000,281,71.5,81.51
18,KEPULAUAN RIAU,407,305,407,181,82.500.000,29.520.000,0,Rp 0,205,48.93,59.06
19,LAMPUNG,2.651,2.107,2.651,1.792,1.146.609.400,367.949.701,3.627.677,Rp 6.752.593.880,1526,57.54,83.16
20,MALUKU,1.236,682,1.236,575,53.590.000,19.240.000,127.279,Rp 196.965.360,433,35.06,33.9
21,MALUKU UTARA,1.191,616,1.187,280,117.600.000,74.090.000,900,Rp 29.805.000,154,13,36.79
22,NUSA TENGGARA BARAT,1.172,985,1.170,892,773.690.200,214.262.280,32.063,Rp 379.953.879,549,47.08,55.13
23,NUSA TENGGARA TIMUR,3.452,2.219,3.451,2.053,2.031.078.493,287.425.930,214.579,Rp 6.708.340.968,1882,54.66,38.4
24,PAPUA,985,256,881,373,48.970.050,19.675.000,107.600,Rp 295.871.600,25,2.5,44.77
25,PAPUA BARAT,826,210,668,274,9.960.000,3.125.000,59.406,Rp 108.326.000,145,17.6,58.47
26,PAPUA BARAT DAYA,1.024,209,956,218,16.611.000,5.470.000,0,Rp 0,49,4.84,54.79
27,PAPUA PEGUNUNGAN,2.387,134,954,145,140.000,40.000,0,Rp 0,2,0.08,24.3
28,PAPUA SELATAN,638,41,260,102,2.240.000,680.000,0,Rp 0,34,4.93,45.65
29,PAPUA TENGAH,1.202,143,1.041,279,11.145.000,3.540.000,0,Rp 0,20,1.66,39.01
30,RIAU,1.866,1.109,1.864,1.064,632.527.978,118.240.000,39.776,Rp 89.912.000,1090,58.54,73.96
31,SULAWESI BARAT,648,510,648,547,186.825.000,52.955.060,3.650,Rp 81.885.176,476,73.46,68.24
32,SULAWESI SELATAN,3.081,2.517,3.074,2.241,775.436.115,283.308.965,446.042,Rp 1.138.175.100,1137,37.17,77.55
33,SULAWESI TENGAH,1.983,1.284,1.982,1.245,351.040.000,54.300.860,64.696,Rp 155.493.760,786,38.97,52.4
34,SULAWESI TENGGARA,2.273,1.556,2.270,1.125,623.164.050,166.650.080,1.055,Rp 25.220.100,864,37.8,61.82
35,SULAWESI UTARA,1.839,1.145,1.838,1.160,400.900.950,105.615.840,24.450,Rp 232.867.000,277,15.06,61.5
36,SUMATERA BARAT,1.270,1.149,1.270,1.256,499.527.100,200.983.000,611.781,Rp 3.522.646.860,323,25.53,70.4
37,SUMATERA SELATAN,3.265,2.655,3.262,2.433,819.828.559,377.118.120,1.655.800,Rp 10.881.391.900,1961,60.17,81.2
38,SUMATERA UTARA,6.102,4.818,6.054,2.730,518.962.975,174.135.400,940.351,Rp 9.733.795.900,2421,39.62,71.76
